description,carb,fat,energy,protein,country,serving_type,queries
"['Coconut Chutney', 'Jaggery, sugarcane, solid', 'Milk Tea', 'Peanuts, all types, raw', 'Potato Bhaji', 'Puri']",84.8,42.699999999999996,785.0,19.6,IND,metric,"For my snack, I prepared 34.5 grams of coconut chutney, 14 grams of solid jaggery, and 72.1 grams of milk tea. I also had 40 grams of raw peanuts, 111 grams of potato bhaji, and 33.1 grams of puri."
"['Lime, sweet musambi', 'Milk Tea']",15.700000000000001,1.9000000000000001,89.0,1.8000000000000003,IND,metric,I have 59g of sweet musambi lime and 34.6g of milk tea for my snack.
"['Chapati', 'Green Gram (Hesaru bele) Bhaji', 'Green Gram Dhal Sambar', 'Rice']",54.199999999999996,15.3,422.0,9.399999999999999,IND,metric,"I'm enjoying 42.1g of chapati with 48.5g of green gram bhaji, 25.3g of dhal sambar, and 58g of rice for lunch."
"['Cake, sponge, commercially prepared', 'Jaggery, sugarcane, solid', 'Peanuts, all types, raw', 'Snacks, potato chips, plain', 'Tamarind, pulp, sweet, ripe, raw']",45.4,9.799999999999999,285.0,5.0,IND,metric,"I’m enjoying a snack with 17g of sponge cake, 20g of jaggery, 12g of raw peanuts, 5g of potato chips, and 22g of tamarind pulp."
"['Bagar Or Sabbakki', 'Banana, ripe, raw ']",24.3,3.3,124.0,1.7,IND,metric,"At lunch, I ate 17 grams of Bagar Or Sabbakki and 89 grams of raw ripe banana."
"['Bengal Gram Dhal Holige', 'Bengal gram dhal sambar', 'Milk, buffalo', 'Puri', 'Rice']",104.89999999999999,35.00000000000001,799.0,17.5,IND,metric,"For dinner tonight, I’m eating 47.4g of Bengal Gram Dhal Holige, paired with 88.2g of Bengal gram dhal sambar, drinking 144.2g of buffalo milk, and having 33.1g of puri with 56.6g of rice."
"['Grapes, blue and red', 'Masala Rice or Palav', 'Milk Tea']",26.499999999999993,7.7,186.0,2.9,IND,metric,"For breakfast, I'm having 6g of blue and red grapes, 53.7g of masala rice, and 52.9g of milk tea."
"['Churmary Oggarani or Churmary Chuda', 'Milk Tea']",22.5,4.1,138.0,3.0999999999999996,IND,metric,"For a light snack, I ate 13 grams of Churmary Oggarani and drank 48 grams of milk tea."
"['Cabbage Bhaji', 'Jowar Roti', 'Milk Tea', 'Milk, buffalo', 'Rice']",103.10000000000001,16.200000000000003,607.0,15.1,IND,metric,"For breakfast today, I had 72.9g of Cabbage Bhaji and 77.8g of Jowar Roti. I also had 43.3g of Milk Tea, plus 82.4g of buffalo milk and 46.8g of rice."
"['Milk, buffalo', 'Peanuts, all types, raw']",21.299999999999997,53.199999999999996,635.0,28.400000000000002,IND,metric,I'm snacking on 94g of raw peanuts along with 103g of buffalo milk.
"['Curd, cow', 'Green Gram Dhal Sambar', 'Jowar Roti', 'Kosambri/pachidi', 'Milk, cow', 'Rice']",57.300000000000004,6.199999999999999,335.0,9.3,IND,metric,"Today’s lunch includes 42.4g of cow curd, 16.8g of Green Gram Dhal Sambar, and 44.9g of Jowar Roti. I also have 20.1g of Kosambri, along with 51.5g of cow milk and 39.5g of rice."
"['Green Gram Dhal Sambar', 'Rice']",16.8,1.1,111.0,2.4000000000000004,IND,metric,"For lunch, I have 22.3 grams of Green Gram Dhal Sambar along with 53.2 grams of rice."
"['Cassava leaves, PROCESS = Boiling, QUALITATIVE-INFO = Without added salt', 'Chives, PROCESS = Steaming', 'Mangoes, PROCESS = Raw, no heat treatment, QUALITATIVE-INFO = Orange', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Porridge water based (ready to eat), INGREDIENT = Maize grain, QUALITATIVE-INFO = Hard', 'Salt', 'Stock cube or granulate, beef, PROCESS = Drying (dehydration), GENERIC-TERM = Other']",260.1,75.2,1794.0,31.5,COD,metric,"For breakfast, I had 127.8g of boiled cassava leaves with no added salt, 1.9g of steamed chives, 206.0g of raw mangoes, 61.9g of red palm oil, 729.0g of ready-to-eat maize porridge, 1.9g of salt, and 0.3g of dried beef stock cube."
"['Chili peppers, PROCESS = Frying', 'Chives, PROCESS = Steaming', 'Dried starchy roots and tuber products, SOURCE-COMMODITIES = Cassava roots, PROCESS = Boiling, PROCESS = Steaming, PHYSICAL-STATE = Powder', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Salt', 'Smoked fish, SOURCE-COMMODITIES = Whitefishes or coregonus', 'Stock cube or granulate, beef, PROCESS = Drying (dehydration), GENERIC-TERM = Other', 'Sweet potato leaves, PROCESS = Boiling, QUALITATIVE-INFO = Without added salt', 'Tomatoes, PROCESS = Boiling, QUALITATIVE-INFO = Ripe / mature, QUALITATIVE-INFO = Without added salt, QUALITATIVE-INFO = Red']",77.0,76.99999999999999,1100.0,21.599999999999998,COD,metric,"For lunch, I'm having 2.2g of fried chili peppers, 17.4g of steamed chives, and 181.6g of boiled cassava root powder. I added 71.1g of red palm oil, 8.3g of salt, and 29.2g of smoked fish. I also included 1.9g of a beef stock cube, 309.1g of boiled sweet potato leaves, and 23.2g of boiled ripe tomatoes."
"['Amaranth leaves, PROCESS = Boiling, QUALITATIVE-INFO = Without added salt', 'Cassava roots, PROCESS = Boiling', 'Chili peppers, PROCESS = Frying', 'Chives, PROCESS = Steaming', 'Edible insect larvae, SOURCE = Termites (as animal), PROCESS = Simmering', 'Oranges, PROCESS = Raw, no heat treatment', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Salt', 'Stock cube or granulate, beef, PROCESS = Drying (dehydration), GENERIC-TERM = Other', 'Tomatoes, PROCESS = Frying, QUALITATIVE-INFO = Red, QUALITATIVE-INFO = Ripe / mature']",102.2,65.99999999999999,1133.0,26.3,COD,metric,"For dinner, I have 212.3g of boiled amaranth leaves, 178g of boiled cassava roots, some fried chili peppers weighing 0.8g, 6.6g of steamed chives, 56.0g of simmered edible insect larvae from termites, 255.0g of raw oranges, 46.1g of red palm oil, 8.3g of salt, 2.6g of beef stock cube, and 33.2g of fried ripe red tomatoes."
"['Cassava leaves, PROCESS = Boiling, QUALITATIVE-INFO = Without added salt', 'Chives, PROCESS = Steaming', 'Coffee beverages, INGREDIENT = Coffee ground, roasted, INGREDIENT = Tap water', 'Maize and similar-, PROCESS = Grilling/griddling (high temperature cooking), QUALITATIVE-INFO = Yellow, QUALITATIVE-INFO = Fresh', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Peanuts, PROCESS = Boiling', 'Porridge water based (ready to eat), INGREDIENT = Maize grain, QUALITATIVE-INFO = Hard', 'Salt', 'Stock cube or granulate, beef, PROCESS = Drying (dehydration), GENERIC-TERM = Other']",78.19999999999999,66.10000000000001,974.0,21.200000000000006,COD,metric,"For breakfast, I'm having 163.8g of boiled cassava leaves without added salt, along with 2.3g of steamed chives. I also have 233.0g of coffee made with ground, roasted coffee and tap water, 85.0g of grilled yellow maize, 58.2g of red palm oil, 16.5g of boiled peanuts, 109.0g of ready-to-eat maize porridge, 2.1g of salt, and 0.5g of dried beef stock cube."
"['Amaranth leaves, PROCESS = Boiling, QUALITATIVE-INFO = Without added salt', 'Chives, PROCESS = Steaming', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Peanuts, PROCESS = Boiling', 'Porridge water based (ready to eat), INGREDIENT = Maize grain, QUALITATIVE-INFO = Hard', 'Salt', 'Stock cube or granulate, beef, PROCESS = Drying (dehydration), GENERIC-TERM = Other', 'Tomatoes, PROCESS = Boiling, QUALITATIVE-INFO = Ripe / mature, QUALITATIVE-INFO = Without added salt, QUALITATIVE-INFO = Red']",113.89999999999999,48.400000000000006,947.0,21.1,COD,metric,"For breakfast, I'm having 139.5g of boiled amaranth leaves, 12.1g of steamed chives, and 36.2g of red palm oil. I also have 38.8g of boiled peanuts, a hearty serving of 365.0g of ready-to-eat maize porridge, a pinch of 4.6g of salt, and a touch of 0.4g of dried beef stock for flavor. To round it off, I'm enjoying 12.9g of ripe, red tomatoes that I boiled without added salt."
"['Chives, PROCESS = Steaming', 'Nut/seeds paste/emulsion/mass, SOURCE-COMMODITIES = Peanuts, PROCESS = Roasting', 'Okra, PROCESS = Boiling, QUALITATIVE-INFO = Without added salt', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Porridge water based (ready to eat), INGREDIENT = Maize grain, QUALITATIVE-INFO = Hard', 'Salt', 'Solanacea, GENERIC-TERM = Other', 'Stock cube or granulate, beef, PROCESS = Drying (dehydration), GENERIC-TERM = Other']",127.19999999999999,13.599999999999998,674.0,17.400000000000002,COD,metric,"For my lunch, I have 7.9 grams of chives that were steamed, 7.6 grams of peanut paste made from roasted peanuts, and 37.9 grams of boiled okra without any salt. I’m also using 3.2 grams of red palm oil, 427 grams of hard maize grain porridge, a sprinkle of salt at 0.8 grams, 47.3 grams of other Solanaceae, and 0.3 grams of beef stock granules."
"['Boiled eggs, SOURCE-COMMODITIES = Hen eggs', 'Chicken fresh meat, PROCESS = Boiling, QUALITATIVE-INFO = Dark, QUALITATIVE-INFO = Without added salt, PART-CONSUMED-ANALYSED = With skin', 'Chili peppers, PROCESS = Frying', 'Chives, PROCESS = Steaming', 'Garlic, PROCESS = Frying', 'Nut/seeds paste/emulsion/mass, SOURCE-COMMODITIES = Peanuts, PROCESS = Roasting', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Porridge water based (ready to eat), INGREDIENT = Maize grain, QUALITATIVE-INFO = Hard', 'Pumpkin seeds, PROCESS = Roasting, PHYSICAL-STATE = Whole/unsplit form, including artificial forms', 'Salt', 'Smoked fish, SOURCE-COMMODITIES = Whitefishes or coregonus', 'Stock cube or granulate, beef, PROCESS = Drying (dehydration), GENERIC-TERM = Other', 'Tomatoes, PHYSICAL-STATE = Paste', 'Tomatoes, PROCESS = Frying, QUALITATIVE-INFO = Red, QUALITATIVE-INFO = Ripe / mature']",160.49999999999997,58.89999999999999,1361.0,57.50000000000001,COD,metric,"For lunch, I had 33.1g of boiled eggs, 20.3g of boiled chicken with skin, and some fried chili peppers (0.4g). I also included 1.6g of steamed chives and 1.0g of fried garlic. To add a little more flavor, I tossed in some peanut paste (4.0g), a dollop of palm oil (3.4g), and a generous bowl of porridge (160.0g). I also snuck in 210.7g of roasted pumpkin seeds and a sprinkle of salt (1.6g). For an extra kick, I added some smoked fish (27.6g), a bit of beef stock (0.9g), and some tomato paste (1.2g) along with fried tomatoes (0.4g)."
"['Baking yeast', 'Cassava roots, PROCESS = Boiling', 'Dried starchy roots and tuber products, SOURCE-COMMODITIES = Cassava roots, PROCESS = Boiling, PROCESS = Steaming, PHYSICAL-STATE = Powder', 'Fermented tea infusion, INGREDIENT = Tap water, QUALITATIVE-INFO = Black', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Pumpkin seeds, PROCESS = Roasting, PHYSICAL-STATE = Whole/unsplit form, including artificial forms', 'Salt', 'Smoked fish, SOURCE-COMMODITIES = Whitefishes or coregonus', 'Tomatoes, PROCESS = Frying, QUALITATIVE-INFO = Red, QUALITATIVE-INFO = Ripe / mature', 'Wheat flour white, PROCESS = Boiling', 'White sugar']",238.2,46.6,1468.0,24.300000000000004,COD,metric,"For breakfast, I'm having 178 grams of boiled cassava roots, 5.2 grams of dried starchy roots and tuber products, 71.8 grams of roasted pumpkin seeds, 0.5 grams of baking yeast, 7.7 grams of fermented tea infusion with tap water, 26.5 grams of red palm oil, 3.0 grams of salt, 45.9 grams of smoked fish, 27.2 grams of ripe red tomatoes, 13.9 grams of white wheat flour, and 124.7 grams of white sugar."
"['Coffee beverages, INGREDIENT = Coffee ground, roasted, INGREDIENT = Tap water', 'Maize and similar-, PROCESS = Grilling/griddling (high temperature cooking), QUALITATIVE-INFO = Yellow, QUALITATIVE-INFO = Fresh', 'White sugar']",64.69999999999999,2.0,271.0,5.2,COD,metric,"I’m enjoying a breakfast of 7.8g of brewed coffee from roasted coffee grounds and tap water, alongside 141g of fresh grilled yellow maize and 25.5g of white sugar."
"['Cassava roots, PROCESS = Boiling', 'Chives, PROCESS = Steaming', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Salt', 'Sweet potato leaves, PROCESS = Boiling, QUALITATIVE-INFO = Without added salt', 'Tomatoes, PROCESS = Boiling, QUALITATIVE-INFO = Ripe / mature, QUALITATIVE-INFO = Without added salt, QUALITATIVE-INFO = Red']",24.0,20.099999999999998,303.0,5.0,COD,metric,"For lunch, I'm having 45g of boiled cassava roots, 7.3g of steamed chives, 19.5g of red palm oil, a pinch of salt, which is actually 1.9g, 84.5g of boiled sweet potato leaves without added salt, and 20.8g of ripe, boiled red tomatoes without added salt."
"['Amaranth leaves, PROCESS = Boiling, QUALITATIVE-INFO = Without added salt', 'Chives, PROCESS = Steaming', 'Coffee beverages, INGREDIENT = Coffee ground, roasted, INGREDIENT = Tap water', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Porridge water based (ready to eat), INGREDIENT = Maize grain, QUALITATIVE-INFO = Hard', 'Salt', 'Smoked fish, SOURCE-COMMODITIES = Whitefishes or coregonus', 'Stock cube or granulate, beef, PROCESS = Drying (dehydration), GENERIC-TERM = Other', 'Tomatoes, PROCESS = Boiling, QUALITATIVE-INFO = Ripe / mature, QUALITATIVE-INFO = Without added salt, QUALITATIVE-INFO = Red']",226.4,105.60000000000001,1982.0,44.2,COD,metric,"For breakfast, I had 339.6g of boiled amaranth leaves, 28.8g of steamed chives, 93g of coffee made with ground coffee and tap water, 89.2g of red palm oil, 729.0g of ready-to-eat maize porridge, 11.1g of salt, 39.2g of smoked fish (whitefish), 1.1g of beef stock cube, and 32.2g of ripe boiled tomatoes without added salt."
"['Palm oil/fat, QUALITATIVE-INFO = Red', 'Plantains, PROCESS = Frying, QUALITATIVE-INFO = Ripe / mature']",128.3,189.20000000000002,2255.0,4.6,COD,metric,"For dinner, I'm having 188.4 grams of red palm oil and 420.6 grams of fried ripe plantains."
"['Cassava leaves, PROCESS = Boiling, QUALITATIVE-INFO = Without added salt', 'Chives, PROCESS = Steaming', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Peanuts, PROCESS = Roasting, QUALITATIVE-INFO = Without added salt', 'Porridge water based (ready to eat), INGREDIENT = Maize grain, QUALITATIVE-INFO = Hard', 'Salt', 'Stock cube or granulate, beef, PROCESS = Drying (dehydration), GENERIC-TERM = Other']",75.0,52.199999999999996,819.0,20.8,COD,metric,"For breakfast, I'm having 53.1g of boiled cassava leaves without added salt, 0.8g of steamed chives, and 25.7g of red palm oil. I also have 46g of roasted peanuts without added salt and 204g of ready-to-eat maize porridge. A pinch of salt (0.8g) and a bit of beef stock granulate (0.1g) round it out."
"['Palm oil/fat, QUALITATIVE-INFO = Red', 'Plantains, PROCESS = Boiling, QUALITATIVE-INFO = Ripe / mature', 'Salt', 'Solanacea, GENERIC-TERM = Other']",29.4,20.7,329.0,4.3,COD,metric,"I'm having 20.2 grams of palm oil, along with 86 grams of ripe plantains boiled with 1.2 grams of salt, plus 73.3 grams of another Solanaceae for dinner."
"['Amaranth leaves, PROCESS = Boiling, QUALITATIVE-INFO = Without added salt', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Porridge water based (ready to eat), INGREDIENT = Maize grain, QUALITATIVE-INFO = Hard', 'Salt', 'Solanacea, GENERIC-TERM = Other', 'Stock cube or granulate, beef, PROCESS = Drying (dehydration), GENERIC-TERM = Other']",54.00000000000001,27.3,489.0,9.2,COD,metric,"I'm having 56.4g of boiled amaranth leaves with no added salt, along with 24.5g of red palm oil and 175g of ready-to-eat maize porridge for dinner. I included 1.1g of salt, 36g of another Solanacea, and a bit of 0.1g of beef stock granules."
"['Chives, PROCESS = Steaming', 'Dried starchy roots and tuber products, SOURCE-COMMODITIES = Cassava roots, PROCESS = Boiling, PROCESS = Steaming, PHYSICAL-STATE = Powder', 'Nut/seeds paste/emulsion/mass, SOURCE-COMMODITIES = Peanuts, PROCESS = Roasting', 'Okra, PROCESS = Boiling, QUALITATIVE-INFO = Without added salt', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Salt', 'Smoked fish, SOURCE-COMMODITIES = Whitefishes or coregonus', 'Stock cube or granulate, beef, PROCESS = Drying (dehydration), GENERIC-TERM = Other', 'Tomatoes, PROCESS = Frying, QUALITATIVE-INFO = Red, QUALITATIVE-INFO = Ripe / mature']",83.1,33.8,720.0,15.899999999999999,COD,metric,"For breakfast, I'm having 11.3g of steamed chives, 235.2g of boiled and steamed cassava root powder, 26.1g of roasted peanut paste, 167.6g of boiled okra without added salt, 16.8g of red palm oil, 2.0g of salt, 19.0g of smoked whitefish, 0.5g of beef stock granule, and 18.4g of fried red ripe tomatoes."
"['Cassava leaves, PROCESS = Boiling, QUALITATIVE-INFO = Without added salt', 'Chives, PROCESS = Steaming', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Papayas, PROCESS = Raw, no heat treatment, QUALITATIVE-INFO = Ripe / mature', 'Porridge water based (ready to eat), INGREDIENT = Maize grain, QUALITATIVE-INFO = Hard', 'Salt', 'Stock cube or granulate, beef, PROCESS = Drying (dehydration), GENERIC-TERM = Other']",115.3,27.6,740.0,14.2,COD,metric,"I enjoyed 44.3g of boiled cassava leaves, paired with 0.7g of steamed chives and 21.5g of red palm oil. Alongside, I had 57g of ripe papaya and 370g of maize porridge, seasoned with 0.7g of salt and 0.1g of beef stock."
"['Guinea-fowl fresh meat, PROCESS = Simmering, PART-CONSUMED-ANALYSED = With skin', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Porridge water based (ready to eat), INGREDIENT = Maize grain, QUALITATIVE-INFO = Hard', 'Salt', 'Stock cube or granulate, beef, PROCESS = Drying (dehydration), GENERIC-TERM = Other']",115.0,50.6,995.0,22.099999999999998,COD,metric,"I'm enjoying 253.4 grams of guinea-fowl meat cooked with skin, along with 44.4 grams of palm oil. I have 365 grams of maize porridge on the side, seasoned with 3.2 grams of salt and 1.2 grams of beef stock."
"['Chives, PROCESS = Steaming', 'Dried fish, SOURCE-COMMODITIES = River eels, PROCESS = Cooking and similar thermal preparation processes, QUALITATIVE-INFO = Mixed origin', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Porridge water based (ready to eat), INGREDIENT = Maize grain, QUALITATIVE-INFO = Hard', 'Salt', 'Soft drinks with minor amounts of fruits or flavours, INGREDIENT = Lemons', 'Stock cube or granulate, beef, PROCESS = Drying (dehydration), GENERIC-TERM = Other']",88.89999999999999,77.3,1168.0,33.0,COD,metric,"I’m enjoying a dinner that includes 15.7g of chives, 105.3g of river eels, and 57.8g of red palm oil. I’ve got 243g of maize porridge, seasoned with 10.8g of salt, and I’m drinking a 169g lemon-flavored soft drink along with 4.3g of beef stock."
"['Coffee beverages, INGREDIENT = Coffee ground, roasted, INGREDIENT = Tap water', 'Edible insect larvae, SOURCE = Termites (as animal), PROCESS = Frying', 'Onions, PROCESS = Boiling, QUALITATIVE-INFO = Without added salt', 'Plantains, PROCESS = Boiling, QUALITATIVE-INFO = Ripe / mature', 'Salt', 'Vegetable fats and oils, edible']",177.7,19.2,981.0,16.3,COD,metric,"For breakfast, I had 226.0g of coffee made with roasted coffee grounds and tap water, alongside 46.7g of fried termite larvae, some boiled onions weighing 0.4g with no added salt, and 581.0g of boiled ripe plantains, seasoned with 0.9g of salt and 2.9g of vegetable fats."
"['Drink water/ Nam Deum', 'Hen egg whole, boiled/  Khai Kai Tom', 'Rice glutinous, polished, steamed/ Khao Niew', 'Spicy (stir-fried) Bon salad/ Lab Bon']",77.67,4.760000000000001,407.0,13.5,LAO,metric,"I'm enjoying 400 grams of water along with 50 grams of boiled egg, 145.5 grams of sticky rice, and 95.3 grams of spicy Bon salad for lunch."
"['Boiled Pork loin with little water/ Or Mou', 'Drink water/ Nam Deum', 'Mango (Kaew variety), ripe / Mak Muang Keo', 'Rice glutinous, polished, steamed/ Khao Niew']",129.71,1.5900000000000003,591.0,14.280000000000001,LAO,metric,"Lunch included 40.7g of boiled pork loin, 300g of water, 69.5g of ripe mango, and 217g of steamed glutinous rice."
"['Drink water/ Nam Deum', 'Milk powdered, Dumex (1-plus)/ Nom Phong Dumex', 'Nile tilapia, fried/ Cheun Pa Nile', 'Peari/ Mak Sali', 'Rice glutinous, polished, steamed/ Khao Niew']",39.32,9.409999999999998,297.0,13.64,LAO,metric,"This morning, I’m enjoying 100 grams of water, 206.4 grams of Dumex powdered milk, 21.6 grams of fried Nile tilapia, 43.2 grams of pear, and 38.9 grams of steamed glutinous rice."
"['Candy/ Kha Nom Om', 'Drink water/ Nam Deum', 'Pepsi/ Pepsi', 'Pork, sundried, grilled/ Ping Sin Mou Dad Diew', 'Rice glutinous, polished, steamed/ Khao Niew']",58.41,1.59,279.0,7.93,LAO,metric,"I had 6g of candy, 50g of water, 150g of Pepsi, 15g of grilled pork, and 68.9g of steamed glutinous rice for lunch."
"['Drink water/ Nam Deum', 'Omlet hen egg/ Cheun Khai Kai', 'Rice glutinous, polished, steamed/ Khao Niew', 'Yoghurt drinking UHT/ Nom Som UHT']",83.51,40.629999999999995,794.0,24.62,LAO,metric,"I’m enjoying 400 grams of water with my 112g omelet, 100g of polished steamed rice, and 180g of yogurt for dinner."
"['Drink water/ Nam Deum', 'Mango, ripe/ Mak Muang Souk', 'Orange fruit/  Mak Kieng', 'Rice glutinous, polished, steamed/ Khao Niew']",44.4,0.30000000000000004,195.0,3.6399999999999997,LAO,metric,"For lunch, I'm having 66 grams of water, 34.8 grams of ripe mango, 36 grams of orange fruit, and 63 grams of steamed glutinous rice."
"['Bamboo shoot, boiled with Pork spare ribs/ Kheang Nor Mai Sai Ka Douk Mou', 'Drink water/ Nam Deum', 'Rice glutinous, polished, steamed/ Khao Niew']",116.28,0.83,517.0,11.11,LAO,metric,"My lunch consisted of 163.7g of bamboo shoots with pork ribs, 210g of steamed glutinous rice, and a refreshing 200g glass of water."
"['Deep fired banana / Kuay Cheun', 'Drink water/ Nam Deum', 'Rice glutinous, polished, steamed/ Khao Niew', 'Spicy Striped snakehead fish soup/ Keang Som Pa Kor']",59.74,5.489999999999999,344.0,12.65,LAO,metric,"I had 31 grams of deep-fried bananas, drank 100 grams of water, ate 55 grams of steamed glutinous rice, and 111 grams of spicy snakehead fish soup for dinner."
"['Candy/ Kha Nom Om', 'Drink water/ Nam Deum', 'Rice glutinous, polished, steamed/ Khao Niew', 'Soup, Cabbage chinese  / Keang Phak Kart']",41.7,0.29000000000000004,183.0,3.7199999999999998,LAO,metric,"For lunch, it's 8g of candy, 200g of water, 65.3g of steamed rice, and 140.9g of Chinese cabbage soup."
"['Cake sponge commercially prepared / Kha Nom Khai', 'Drink water/ Nam Deum', 'Jellies / Jellies', 'Pork meat mixed salt, grilled/ Ping Sin Mou', 'Rice glutinous, polished, steamed/ Khao Niew']",137.01,2.63,594.0,9.39,LAO,metric,"My breakfast consists of 34.5g of cake sponge, 50g of plain water, 95.2g of jellies, 9g of grilled pork seasoned with salt, and 97g of steamed glutinous rice."
"['Cabbage chinese, blanch / Luag Phak Kart', 'Drink water/ Nam Deum', 'Rice glutinous, polished, steamed/ Khao Niew', 'Rice noodles fresh with beef Soup/ Feu Ngau', 'Shrimp tiny paste, fermented/ Ka Pi', 'Yard long bean green/ Mak Tour Yao']",106.85000000000001,4.879999999999999,559.0,21.22,LAO,metric,"For lunch, I'm having 32.0g of blanched Chinese cabbage, 600.0g of water to drink, 106.5g of steamed glutinous rice, and 605.1g of fresh rice noodles with beef soup. I also have 4.0g of fermented tiny shrimp paste and 29.7g of green yard long beans."
"['Drink water/ Nam Deum', 'Nile tilapia salt coat , Grilled/ Ping Pa Nile', 'Rice glutinous, polished, steamed/ Khao Niew', 'Soymilk/ Nom Lactasoy']",42.36,3.9899999999999998,261.0,13.48,LAO,metric,"I'm enjoying 250 grams of water with my lunch, plus 37.2g of grilled Nile tilapia, 63g of steamed sticky rice, and 90g of soymilk."
"['Drink water/ Nam Deum', 'Human milk, 6 month lactation/ Nom Mear 6 Deuan', 'Rice noodle sheet Vietnamese style, with Pork Soup/ Khao Piek Sen Mou']",54.21000000000001,4.289999999999999,290.0,8.54,LAO,metric,"For lunch, I consumed 66 grams of water, 66 grams of milk from a six-month lactation, and a hefty 248.8g serving of pork soup with rice noodle sheet."
"['Guava common/ Mak Si Da\xa0\xa0', 'Sugar cane, peeled/ Oiy ']",12.190000000000001,0.18,50.0,0.46,LAO,metric,I just grabbed a snack with 57.5g of guava and 29.7g of sugar cane.
"['Boiled Pork meat with  little water/ Or Lam Mou', 'Drink water/ Nam Deum', 'Rice glutinous, polished, steamed/ Khao Niew']",103.91,1.63,527.0,24.42,LAO,metric,"Lunch today includes 100.7g of boiled pork, 191.2g of khao niew, and a 400g glass of water."
"['Banana (Nam-wa variety), ripe/  Kuay Nam Souk', 'Banana blossoms/ Hua Pi', 'Chilli fresh sauce / Jeaw Mak Phet Soth', 'Clear Snail pond / river, soup / Tom Hoi Sai', 'Drink water/ Nam Deum', 'Eggplant / Mak Keua Phuang', 'Horse tamarind, young pods / Ka Thin On', 'Mashed Gunthers walking catfish mixed with condiments/ Pon Pa Duk', 'Rice glutinous, polished, steamed/ Khao Niew']",147.38,7.86,784.0,29.8,LAO,metric,"For breakfast, I had 73.5g of ripe Nam-wa bananas, 37g of banana blossoms, a 5.8g serving of fresh chili sauce, 49.3g of clear snail pond soup, 200.0g of drink water, 4.0g of eggplant, 26.0g of young horse tamarind pods, 46.0g of mashed Gunther's walking catfish mixed with condiments, and 220.9g of steamed polished glutinous rice."
"['Drink water/ Nam Deum', 'Orange fruit/  Mak Kieng', 'Papaya, ripe/ Mak Houng Souk', 'Sugarcane juice, fresh/ Nam Oiy']",56.010000000000005,0.18000000000000002,232.0,1.3299999999999998,LAO,metric,"I had a refreshing snack with 600 grams of water, 36 grams of orange fruit, 140 grams of ripe papaya, and 266 grams of fresh sugarcane juice."
"['Boiled Cassia leaves with little water/ Om Khi Lek', 'Drink water/ Nam Deum', 'Orange fruit/  Mak Kieng', 'Rice glutinous, polished, steamed/ Khao Niew']",57.919999999999995,1.36,280.0,9.43,LAO,metric,"For dinner, I had 65.4g of boiled Cassia leaves with some water, along with 120g of water to drink. I also enjoyed 69.5g of orange fruit on the side and 90g of steamed glutinous rice."
"['Drink water/ Nam Deum', 'Rice vermicelli, instant with seasoning, Boiled/ Mi Vai Vai']",40.74,13.53,313.0,7.1,LAO,metric,I'm enjoying 200 grams of Nam Deum water alongside 667g of instant rice vermicelli with seasoning for lunch.
"['Drink water/ Nam Deum', 'Duck egg whole, boiled / Tom Khai Pet', 'Milk whole UHT sweet favoured/  Nom UHT', 'Rice glutinous, polished, steamed/ Khao Niew']",45.76,6.3500000000000005,276.0,9.29,LAO,metric,I enjoyed 50 grams of water with 25 grams of boiled duck egg and paired it with 90 grams of whole UHT milk and 73 grams of steamed glutinous rice for dinner.
"['BUTTER', 'CARROTS', 'CHEESE FROM COW BRINY', 'EGG YOLK', 'FLOUR WHEAT WHOLEMEAL TYPE 1850', 'FORMULA MILK FOR INFANT NESTLE - NAN 1 (100 ML READY FOR DRINKING)', 'MILK 2% FAT', 'POTATOES AUTUMN', 'SUGAR']",23.8,9.999999999999998,216.0,7.3999999999999995,BGR,metric,"For a snack, I had 3.4g of butter, 22.4g of carrots, and 4.5g of briny cow cheese, along with 10.0g of egg yolk, 4.0g of wholemeal flour, 30.0g of formula milk for infant (Nestle - NAN 1, ready for drinking), 103.0g of 2% fat milk, 25.2g of autumn potatoes, and 5.7g of sugar."
